"Sl. No.","State/UT","Computerization of Registration","E-Stamping","Integration of Land Records and Registration"
"1","Andhra Pradesh","Yes","No","Yes"
"2","Arunachal Pradesh","No","No","No"
"3","Assam","Yes","Yes","No"
"4","Bihar","Yes","No","No"
"5","Chhattisgarh","Under progress","No","No"
"6","Gujarat","Yes","Yes","Yes"
"7","Goa","Yes","No","No"
"8","Haryana","Yes","No","Yes"
"9","Himachal Pradesh","Yes","No","Yes"
"10","Jammu & Kashmir","No","No","No"
"11","Jharkhand","Yes","No","No"
"12","Karnataka","Yes","Yes","Yes"
"13","Kerala","Yes","No","No"
"14","Madhya Pradesh","No","No","No"
"15","Maharashtra","Yes","Yes","Yes"
"16","Manipur","Under progress","No","No"
"17","Meghalaya","No","No","No"
"18","Mizoram","No","No","No"
"19","Nagaland","No","No","No"
"20","Odisha","Yes","Yes","Yes"
"21","Punjab","Yes","No","No"
"22","Rajasthan","Under progress ","No","Under progress"
"23","Sikkim","Yes","No","No"
"24","Tamil Nadu","Yes","No","No"
"25","Tripura","Yes","No","Yes"
"26","Uttar Pradesh","Yes","No","No"
"27","Uttarakhand","Yes","No","No"
"28","West Bengal","Yes","No","No"
"29","Andaman & Nicobar Islands","No","No","No"
"30","Chandigarh","Yes","Yes","No"
"31","Dadra Nagar Haveli","Yes","No","No"
"32","Daman & Diu","No","No","No"
"33","Delhi","Yes","Yes","No"
"34","Lakshadweep","No","No","No"
"35","Puducherry","Yes","Yes","Yes"
